region,population_totale,pct_hommes_insee,pct_femmes_insee
Île-de-France,12278210,48.4,51.6
Auvergne-Rhône-Alpes,8078652,49.1,50.9
Nouvelle-Aquitaine,6033952,48.6,51.4
Occitanie,5973969,48.7,51.3
Hauts-de-France,5997734,48.9,51.1
Provence-Alpes-Côte d'Azur,5081101,48.3,51.7
Grand Est,5556219,48.9,51.1
Bretagne,3373835,49.0,51.0
Pays de la Loire,3881281,49.1,50.9
Normandie,3303500,48.8,51.2
Bourgogne-Franche-Comté,2784806,48.9,51.1
Centre-Val de Loire,2559073,48.7,51.3
Corse,343701,49.4,50.6
DROM,2235235,48.2,51.8
