USER_ID,PATH_CATEGORY_NAME,AGE_GROUP,GENDER,REGION,YEAR_PATH_STARTED
U5363028299603614907,DATA,25-29 ans,Homme,Centre-Val de Loire,2025
U-4524533069670472882,DATA,40-44 ans,Femme,Île-de-France,2025
U4672322528098629101,DATA,35-39 ans,Non renseigné,Île-de-France,2022
U-954942061787437269,DATA,25-29 ans,Non renseigné,Bretagne,2023
U809953164714595293,DATA,35-39 ans,Femme,Île-de-France,2023
U8531149072151979617,DATA,30-34 ans,Non renseigné,Centre-Val de Loire,2024
U-1185646779371827021,DATA,45-49 ans,Non renseigné,Pays de la Loire,2022
U-7719741723490301186,DATA,25-29 ans,Homme,Auvergne-Rhône-Alpes,2025
U-2763021761423102286,DATA,40-44 ans,Femme,Centre-Val de Loire,2025
U-1937978355055344986,DATA,30-34 ans,Femme,Île-de-France,2025
U-4223838926736164539,DATA,25-29 ans,Homme,Hauts-de-France,2025
U-7768963194318419551,DATA,35-39 ans,Non renseigné,Grand Est,2025
U8402628386333891775,DATA,55-59 ans,Homme,Nouvelle-Aquitaine,2025
U5040903391076366410,DATA,25-29 ans,Homme,Bretagne,2025
U8042727351268828575,DATA,30-34 ans,Femme,Île-de-France,2022
U-379131842641086144,DATA,30-34 ans,Homme,Provence-Alpes-Côte d'Azur,2022
U-7424728007156972322,DATA,25-29 ans,Homme,Île-de-France,2023
U-161494829439531520,DATA,25-29 ans,Non renseigné,Île-de-France,2023
U-6727036440702377229,DATA,25-29 ans,Homme,Grand Est,2023
U-6084090652890829109,DATA,30-34 ans,Homme,Occitanie,2024
U3640945592238391935,DATA,25-29 ans,Non renseigné,Île-de-France,2023
U7781221104227646994,DATA,25-29 ans,Homme,Occitanie,2022
U-8041740967711243728,DATA,40-44 ans,Non renseigné,Grand Est,2022
U1922031429455919634,DATA,25-29 ans,Homme,Île-de-France,2022
U1655536320941073906,DATA,30-34 ans,Homme,Provence-Alpes-Côte d'Azur,2022
U-5691751123979061794,DATA,35-39 ans,Homme,Occitanie,2024
U-5863627178281173388,DATA,40-44 ans,Femme,Île-de-France,2022
U-2568133048342785915,DATA,30-34 ans,Non renseigné,Île-de-France,2022
U-3020423375696170104,DATA,30-34 ans,Non renseigné,Île-de-France,2023
U1863506000429186957,DATA,50-54 ans,Non renseigné,Île-de-France,2023
U-3386125748611184129,DATA,25-29 ans,Femme,Provence-Alpes-Côte d'Azur,2023
U-6200825900873722002,DATA,35-39 ans,Homme,Grand Est,2024
U-1954875276071010688,DATA,25-29 ans,Homme,Hauts-de-France,2023
U-4751855125619993317,DATA,35-39 ans,Homme,Île-de-France,2024
U-160061468818042624,DATA,25-29 ans,Homme,Île-de-France,2022
U-9095777643172653087,DATA,25-29 ans,Non renseigné,Île-de-France,2025
U-1910028739391744478,DATA,45-49 ans,Non renseigné,Île-de-France,2022
U-8493394780057559567,DATA,55-59 ans,Non renseigné,Île-de-France,2023
U2545128375983488071,DATA,40-44 ans,Femme,Occitanie,2024
U-8812853560095650670,DATA,25-29 ans,Homme,Auvergne-Rhône-Alpes,2024
U5488030846392028409,DATA,40-44 ans,Femme,Île-de-France,2024
U-9053940748033892731,DATA,20-24 ans,Homme,Île-de-France,2025
U5578368056336158639,DATA,40-44 ans,Femme,Île-de-France,2022
U-3424129481580150320,DATA,50-54 ans,Homme,Provence-Alpes-Côte d'Azur,2024
U-1750515728258027049,DATA,60 ans ou plus,Homme,Île-de-France,2022
U2963603905279292687,DATA,25-29 ans,Homme,Île-de-France,2025
U-5945673424654008058,DATA,40-44 ans,Femme,Île-de-France,2022
U-1359232276983872907,DATA,30-34 ans,Non renseigné,Île-de-France,2023
U-3134257675214452618,DATA,30-34 ans,Homme,Grand Est,2023
U-8223371854767307396,DATA,30-34 ans,Femme,Île-de-France,2022
U-1118156622525800666,DATA,30-34 ans,Non renseigné,Île-de-France,2023
U733759034455640105,DATA,40-44 ans,Homme,Île-de-France,2024
U4546279077558954789,DATA,45-49 ans,Non renseigné,Île-de-France,2025
U306530713208993115,DATA,25-29 ans,Femme,Île-de-France,2024
U-271027973423265148,DATA,25-29 ans,Femme,Auvergne-Rhône-Alpes,2024
U3108149232846304046,DATA,25-29 ans,Homme,Nouvelle-Aquitaine,2024
U5180805404147447514,DATA,25-29 ans,Femme,Île-de-France,2022
U6757847095499403618,DATA,50-54 ans,Non renseigné,Auvergne-Rhône-Alpes,2023
U6385219393386292695,DATA,35-39 ans,Non renseigné,Auvergne-Rhône-Alpes,2022
U-414461630500884019,DATA,35-39 ans,Homme,Nouvelle-Aquitaine,2025
U-4909146635217464516,DATA,30-34 ans,Homme,Nouvelle-Aquitaine,2024
U4788886686667645671,DATA,30-34 ans,Homme,Pays de la Loire,2022
U-8914384569911959164,DATA,30-34 ans,Non renseigné,Auvergne-Rhône-Alpes,2022
U-6751456617748513131,DATA,30-34 ans,Homme,Bretagne,2023
U-6215011578456705585,DATA,35-39 ans,Homme,Île-de-France,2022
U-3947262116333822985,DATA,40-44 ans,Non renseigné,Île-de-France,2022
U7844133890457919858,DATA,45-49 ans,Homme,Hauts-de-France,2024
U8605410400654581408,DATA,25-29 ans,Homme,Occitanie,2024
U-3511557789326007556,DATA,35-39 ans,Homme,Auvergne-Rhône-Alpes,2024
U-3228493538746739065,DATA,25-29 ans,Homme,Île-de-France,2024
U6325226756343354603,DATA,35-39 ans,Femme,Bretagne,2024
U-1396432708992995261,DATA,35-39 ans,Homme,Île-de-France,2025
U7359742212314889678,DATA,35-39 ans,Homme,Île-de-France,2022
U6917855588008748568,DATA,45-49 ans,Femme,Île-de-France,2022
U1177516932108772367,DATA,30-34 ans,Homme,Nouvelle-Aquitaine,2025
U2849506040238797934,DATA,30-34 ans,Homme,DROM,2025
U8415596235291402134,DATA,35-39 ans,Homme,Île-de-France,2022
U-5202860724745897082,DATA,50-54 ans,Non renseigné,Île-de-France,2022
U5693646232908516221,DATA,30-34 ans,Homme,Provence-Alpes-Côte d'Azur,2023
U-6467965933213702233,DATA,25-29 ans,Femme,Île-de-France,2024
U8271058400450340021,DATA,25-29 ans,Non renseigné,Île-de-France,2023
U2956285968847024451,DATA,25-29 ans,Homme,Île-de-France,2023
U-5502917902289389679,DATA,40-44 ans,Non renseigné,Île-de-France,2022
U2214339382082253502,DATA,25-29 ans,Femme,Île-de-France,2024
U-419745965377995822,DATA,30-34 ans,Femme,Hauts-de-France,2022
U7189686041694791667,DATA,60 ans ou plus,Homme,Île-de-France,2024
U-7399139147440258745,DATA,60 ans ou plus,Non renseigné,Île-de-France,2022
U1005721581034506032,DATA,50-54 ans,Femme,Centre-Val de Loire,2025
U7971061877713488994,DATA,30-34 ans,Homme,Auvergne-Rhône-Alpes,2025
U6828682729996979194,DATA,35-39 ans,Femme,Île-de-France,2022
U4842453512235494297,DATA,40-44 ans,Non renseigné,Île-de-France,2023
U-4927716952877172376,DATA,25-29 ans,Femme,Auvergne-Rhône-Alpes,2022
U6089379733194438011,DATA,30-34 ans,Homme,Normandie,2025
U3912364801900516782,DATA,35-39 ans,Homme,Provence-Alpes-Côte d'Azur,2024
U-5502335074556452441,DATA,30-34 ans,Femme,Auvergne-Rhône-Alpes,2022
U-2397040351340661529,DATA,55-59 ans,Homme,Occitanie,2025
U-6361987611095327678,DATA,25-29 ans,Homme,Île-de-France,2023
U-7660038417632910927,DATA,30-34 ans,Femme,Pays de la Loire,2024
U-2146419324675482152,DATA,35-39 ans,Non renseigné,Provence-Alpes-Côte d'Azur,2025
U-6275859555623968936,DATA,30-34 ans,Non renseigné,Île-de-France,2022
U7914163223880936067,DATA,40-44 ans,Non renseigné,Hauts-de-France,2022
U-5077453645857726173,DATA,30-34 ans,Non renseigné,Île-de-France,2023
U9002590464084754175,DATA,30-34 ans,Homme,Hauts-de-France,2022
U7530787623158416589,DATA,50-54 ans,Non renseigné,Auvergne-Rhône-Alpes,2022
U-7727664395263494815,DATA,25-29 ans,Non renseigné,Provence-Alpes-Côte d'Azur,2023
U-2127607362749670588,DATA,40-44 ans,Femme,Île-de-France,2022
U3745759264276588618,DATA,25-29 ans,Homme,Île-de-France,2023
U1015169980063227391,DATA,40-44 ans,Homme,Île-de-France,2022
U5515177358587108210,DATA,30-34 ans,Homme,Pays de la Loire,2023
U1502893968414312254,DATA,35-39 ans,Homme,Île-de-France,2023
U692674470025102494,DATA,40-44 ans,Non renseigné,Hauts-de-France,2022
U9012549265762202868,DATA,25-29 ans,Non renseigné,Île-de-France,2023
U2249146396758535587,DATA,20-24 ans,Homme,Auvergne-Rhône-Alpes,2024
U7374524130216975339,DATA,35-39 ans,Homme,Île-de-France,2024
U7563543609708510459,DATA,35-39 ans,Non renseigné,Hauts-de-France,2024
U8275620277707031136,DATA,45-49 ans,Non renseigné,Île-de-France,2023
U-9193147187560339523,DATA,25-29 ans,Non renseigné,Île-de-France,2022
U1589396258806117299,DATA,40-44 ans,Femme,Île-de-France,2022
U2425265589963544875,DATA,25-29 ans,Femme,Île-de-France,2025
U-5711445584628809991,DATA,35-39 ans,Femme,Île-de-France,2024
U-6958457983479060266,DATA,35-39 ans,Non renseigné,Normandie,2022
U-2468096688296850010,DATA,30-34 ans,Non renseigné,Occitanie,2022
U-7339195012151480336,DATA,20-24 ans,Homme,Occitanie,2025
U-3965115916196174941,DATA,50-54 ans,Homme,Île-de-France,2022
U-2283157318797230603,DATA,20-24 ans,Homme,Île-de-France,2025
U-842865698969427018,DATA,50-54 ans,Homme,Auvergne-Rhône-Alpes,2022
U-2916914181439109045,DATA,25-29 ans,Non renseigné,Pays de la Loire,2023
U2874023095755862976,DATA,25-29 ans,Femme,Occitanie,2024
U8255486054546962262,DATA,40-44 ans,Homme,Île-de-France,2022
U-5504425121434423266,DATA,35-39 ans,Non renseigné,Grand Est,2022
U-6919794486015642438,DATA,50-54 ans,Homme,Grand Est,2025
U445617467628978516,DATA,35-39 ans,Non renseigné,Île-de-France,2022
U2220117345461006591,DATA,50-54 ans,Homme,Île-de-France,2022
U-7540653306873387647,DATA,45-49 ans,Non renseigné,Hauts-de-France,2022
U7727472502651392810,DATA,30-34 ans,Non renseigné,Île-de-France,2023
U1693612237948278613,DATA,30-34 ans,Homme,Bourgogne-Franche-Comté,2025
U5289325315389549467,DATA,25-29 ans,Homme,Île-de-France,2024
U397965577877929957,DATA,25-29 ans,Homme,Pays de la Loire,2024
U-8912959335997031541,DATA,55-59 ans,Femme,Provence-Alpes-Côte d'Azur,2025
U4330893044773286174,DATA,40-44 ans,Femme,Pays de la Loire,2022
U1134766157862523611,DATA,50-54 ans,Non renseigné,Nouvelle-Aquitaine,2022
U-2669260413925230258,DATA,20-24 ans,Homme,Auvergne-Rhône-Alpes,2025
U-761240358673736801,DATA,35-39 ans,Homme,Provence-Alpes-Côte d'Azur,2025
U161567534845869458,DATA,25-29 ans,Femme,Grand Est,2023
U-7870953153211911295,DATA,60 ans ou plus,Homme,Île-de-France,2023
U-2052484269608735584,DATA,55-59 ans,Non renseigné,Île-de-France,2023
U-3010240189587478361,DATA,20-24 ans,Homme,Occitanie,2023
U-2478140460963937345,DATA,35-39 ans,Homme,Île-de-France,2022
U1358220784724474056,DATA,35-39 ans,Non renseigné,Occitanie,2024
U5330213563673936115,DATA,30-34 ans,Femme,Auvergne-Rhône-Alpes,2023
U-1870851246711160372,DATA,35-39 ans,Homme,Pays de la Loire,2022
U-4698401696981322204,DATA,35-39 ans,Femme,Centre-Val de Loire,2023
U7508235029335699153,DATA,30-34 ans,Homme,Auvergne-Rhône-Alpes,2024
U-710916001551103937,DATA,30-34 ans,Non renseigné,Île-de-France,2022
U6553763008702774598,DATA,25-29 ans,Femme,Île-de-France,2024
U-6359777884917275242,DATA,30-34 ans,Femme,Île-de-France,2023
U-1323438453115396366,DATA,25-29 ans,Homme,Nouvelle-Aquitaine,2025
U1193209668280953721,DATA,30-34 ans,Femme,Pays de la Loire,2024
U-2870620013123030100,DATA,25-29 ans,Non renseigné,Île-de-France,2023
U1589640439743994521,DATA,35-39 ans,Non renseigné,Centre-Val de Loire,2022
U5169870343878803606,DATA,35-39 ans,Non renseigné,Hauts-de-France,2023
U7501412014698153099,DATA,35-39 ans,Homme,Île-de-France,2022
U-3266126604479516856,DATA,45-49 ans,Homme,Hauts-de-France,2024
U5225926859409182335,DATA,25-29 ans,Homme,Normandie,2024
U-4829133008802958449,DATA,50-54 ans,Femme,Nouvelle-Aquitaine,2024
U2793433816981984774,DATA,25-29 ans,Non renseigné,Grand Est,2022
U2850926798161769620,DATA,30-34 ans,Homme,Île-de-France,2023
U-2606849117618042069,DATA,30-34 ans,Homme,Île-de-France,2022
U6825219063885261046,DATA,45-49 ans,Homme,Île-de-France,2025
U341514787569750030,DATA,40-44 ans,Femme,Provence-Alpes-Côte d'Azur,2022
U-8512265531710006440,DATA,30-34 ans,Femme,Centre-Val de Loire,2025
U445239567381110570,DATA,30-34 ans,Non renseigné,Hauts-de-France,2022
U7543780720470269322,DATA,40-44 ans,Non renseigné,Nouvelle-Aquitaine,2022
U266939873859515662,DATA,20-24 ans,Homme,Auvergne-Rhône-Alpes,2024
U972655733640611188,DATA,35-39 ans,Femme,Île-de-France,2024
U6399276652153050553,DATA,35-39 ans,Non renseigné,Auvergne-Rhône-Alpes,2023
U4395934914891429859,DATA,30-34 ans,Homme,Île-de-France,2022
U-2444445136478426790,DATA,30-34 ans,Homme,Île-de-France,2023
U-5719904739560985535,DATA,50-54 ans,Homme,Normandie,2025
U-416599143959356211,DATA,25-29 ans,Homme,Nouvelle-Aquitaine,2022
U319400881047826589,DATA,25-29 ans,Homme,Bretagne,2025
U3023950822099502754,DATA,45-49 ans,Homme,Auvergne-Rhône-Alpes,2022
U-630769171710347345,DATA,25-29 ans,Femme,Île-de-France,2025
U8309755485503054531,DATA,30-34 ans,Homme,Pays de la Loire,2023
U1378854194748258553,DATA,40-44 ans,Homme,Île-de-France,2025
U4492268468235399869,DATA,55-59 ans,Homme,Île-de-France,2022
U8710083587080165598,DATA,40-44 ans,Femme,Nouvelle-Aquitaine,2025
U3671419528514834704,DATA,40-44 ans,Femme,Île-de-France,2022
U-9009624006234338662,DATA,35-39 ans,Homme,Île-de-France,2025
U5182831259960838745,DATA,30-34 ans,Femme,Île-de-France,2022
U-8245354950745636257,DATA,45-49 ans,Homme,Auvergne-Rhône-Alpes,2024
U396378859717393442,DATA,40-44 ans,Homme,Bretagne,2024
U-4982810414848265260,DATA,40-44 ans,Non renseigné,Grand Est,2023
U-5051616050766070827,DATA,55-59 ans,Homme,Auvergne-Rhône-Alpes,2022
U-299600166927144330,DATA,30-34 ans,Femme,Île-de-France,2022
U6373735094294673265,DATA,30-34 ans,Non renseigné,Grand Est,2022
U-4614545262834943790,DATA,30-34 ans,Non renseigné,Île-de-France,2023
U-3757450919071555885,DATA,55-59 ans,Homme,Grand Est,2024
U-8185196742085121847,DATA,25-29 ans,Femme,Île-de-France,2024
U-5539020796047465587,DATA,30-34 ans,Homme,Grand Est,2023
U-7108722474670035448,DATA,20-24 ans,Homme,Île-de-France,2023
U-1208165322251346293,DATA,25-29 ans,Femme,Centre-Val de Loire,2025
U-7311222666520816205,DATA,35-39 ans,Homme,Île-de-France,2025
U-9197833047101216357,DATA,45-49 ans,Homme,Bretagne,2024
U6372116207790476959,DATA,20-24 ans,Non renseigné,Hauts-de-France,2022
U8888253595249334820,DATA,60 ans ou plus,Homme,Auvergne-Rhône-Alpes,2022
U5940326803369324463,DATA,25-29 ans,Non renseigné,Île-de-France,2022
U-5530012439969146571,DATA,35-39 ans,Non renseigné,Île-de-France,2022
U-2572217992704115725,DATA,45-49 ans,Homme,Occitanie,2022
U6711529031508577285,DATA,30-34 ans,Femme,Nouvelle-Aquitaine,2023
U6375339383842400538,DATA,45-49 ans,Homme,Auvergne-Rhône-Alpes,2024
