client_id;montant_total;panier_moyen;frequence_achat;categorie_preferee;sexe;age;tranche_age
;0.0;;0;;;;
c_1;629.02;14.628372093023255;43;0.0;m;69.0;65+
c_10;1353.6;23.337931034482757;58;1.0;m;68.0;65+
c_100;254.85;31.85625;8;1.0;m;32.0;25-35
c_1000;2291.88;18.18952380952381;126;1.0;f;58.0;55-65
c_1001;1823.85;17.707281553398058;103;0.0;m;42.0;35-45
c_1002;436.54;11.798378378378379;37;0.0;f;42.0;35-45
c_1003;1230.83;11.611603773584905;106;0.0;m;42.0;35-45
c_1004;1077.83;15.850441176470587;68;0.0;m;51.0;45-55
c_1005;844.93;14.320847457627117;59;1.0;f;83.0;65+
c_1006;4029.97;13.478160535117055;299;0.0;m;45.0;35-45
c_1007;424.96999999999997;18.47695652173913;23;1.0;f;83.0;65+
c_1008;91.94;15.323333333333332;6;0.0;m;58.0;55-65
c_1009;513.8199999999999;25.690999999999995;20;1.0;f;30.0;25-35
c_101;390.72;21.706666666666667;18;0.0;m;23.0;<25
c_1010;1653.1799999999998;50.096363636363634;33;2.0;m;30.0;25-35
c_1011;2169.24;28.542631578947365;76;0.0;f;25.0;<25
c_1012;349.07;13.9628;25;0.0;f;67.0;65+
c_1013;2744.8199999999997;15.08142857142857;182;0.0;m;42.0;35-45
c_1014;3389.2;13.890163934426228;244;0.0;m;35.0;25-35
c_1015;1630.4099999999999;16.46878787878788;99;1.0;m;71.0;65+
c_1016;2016.61;12.003630952380952;168;0.0;m;44.0;35-45
c_1017;2183.39;13.561428571428571;161;0.0;f;49.0;45-55
c_1018;1885.01;62.833666666666666;30;2.0;f;31.0;25-35
c_1019;505.38;18.717777777777776;27;0.0;f;76.0;65+
c_102;317.11;15.100476190476192;21;0.0;m;42.0;35-45
c_1020;555.6999999999999;15.018918918918917;37;0.0;m;49.0;45-55
c_1021;1051.99;61.881764705882354;17;2.0;f;25.0;<25
c_1022;1815.14;50.42055555555556;36;2.0;m;28.0;25-35
c_1023;3450.88;48.60394366197183;71;2.0;m;25.0;<25
c_1024;148.7;16.522222222222222;9;1.0;f;54.0;45-55
c_1025;3727.89;14.283103448275861;261;0.0;m;40.0;35-45
c_1026;1588.94;49.654375;32;1.0;m;26.0;25-35
c_1027;1399.29;13.585339805825242;103;0.0;f;45.0;35-45
c_1028;3571.88;12.445574912891987;287;0.0;m;38.0;35-45
c_1029;195.42999999999998;17.766363636363636;11;1.0;m;68.0;65+
c_103;2327.87;11.816598984771574;197;0.0;f;38.0;35-45
c_1030;423.69;13.66741935483871;31;0.0;m;76.0;65+
c_1031;2928.88;20.199172413793104;145;1.0;f;61.0;55-65
c_1032;575.91;14.397749999999998;40;1.0;m;61.0;55-65
c_1033;801.28;80.128;10;2.0;f;24.0;<25
c_1034;201.93;16.8275;12;1.0;f;60.0;55-65
c_1035;332.53;15.834761904761903;21;0.0;f;43.0;35-45
c_1036;348.7;12.453571428571427;28;0.0;f;48.0;45-55
c_1037;1574.26;16.571157894736842;95;1.0;m;63.0;55-65
c_1038;820.72;21.597894736842107;38;0.0;m;22.0;<25
c_1039;1432.69;17.908625;80;1.0;f;61.0;55-65
c_104;299.11;24.925833333333333;12;1.0;m;29.0;25-35
c_1040;548.92;12.475454545454545;44;0.0;m;46.0;45-55
c_1041;630.66;12.365882352941176;51;0.0;f;47.0;45-55
c_1042;348.75;29.0625;12;1.0;f;20.0;<25
c_1043;1056.69;11.611978021978022;91;0.0;f;47.0;45-55
c_1044;426.53;20.31095238095238;21;1.0;m;68.0;65+
c_1045;1256.8;14.281818181818181;88;0.0;f;52.0;45-55
c_1046;919.58;22.42878048780488;41;0.0;m;20.0;<25
c_1047;865.5699999999999;13.524531249999999;64;0.0;m;51.0;45-55
c_1048;822.0500000000001;51.378125000000004;16;2.0;m;26.0;25-35
c_1049;645.9;16.56153846153846;39;1.0;m;58.0;55-65
c_105;499.27;12.48175;40;0.0;f;48.0;45-55
c_1050;3218.84;13.138122448979592;245;0.0;f;39.0;35-45
c_1051;1352.73;16.103928571428572;84;1.0;f;56.0;55-65
c_1052;2810.99;53.03754716981132;53;0.0;m;23.0;<25
c_1053;1561.3799999999999;40.035384615384615;39;1.0;m;25.0;<25
c_1054;1146.93;16.384714285714285;70;1.0;f;59.0;55-65
c_1055;1625.44;17.109894736842104;95;1.0;f;59.0;55-65
c_1056;587.01;45.15461538461538;13;2.0;f;29.0;25-35
c_1057;1495.96;15.422268041237114;97;0.0;f;47.0;45-55
c_1058;974.4399999999999;18.38566037735849;53;1.0;f;55.0;45-55
c_1059;538.62;44.885;12;0.0;f;28.0;25-35
c_106;233.28;12.96;18;0.0;f;57.0;55-65
c_1060;2887.54;11.690445344129554;247;0.0;f;51.0;45-55
