CODDEP,COM,PMUN,PTOT,Id_codedep_codecommune,Geolocalisation
1,L'Abergement-Clémenciat,779,798,1001,"46.1534255214,4.92611354223"
1,L'Abergement-de-Varey,256,257,1002,"46.0091878776,5.42801696363"
1,Ambérieu-en-Bugey,14134,14514,1004,"45.9608475114,5.3729257777"
1,Ambérieux-en-Dombes,1751,1776,1005,"45.9961799872,4.91227250796"
1,Ambléon,112,118,1006,"45.7494989044,5.59432017366"
1,Ambronay,2800,2915,1007,"46.0055913782,5.35760660735"
1,Ambutrix,762,777,1008,"45.9367134524,5.3328092349"
1,Andert-et-Condon,326,335,1009,"45.7873565333,5.65788307924"
1,Anglefort,1105,1122,1010,"45.9093715116,5.79516005674"
1,Apremont,368,379,1011,"46.2054981558,5.65781475272"
1,Aranc,329,333,1012,"46.0015344029,5.51130637511"
1,Arandas,143,147,1013,"45.8908155275,5.49870439091"
1,Arbent,3349,3442,1014,"46.2834936005,5.69061651221"
1,Arboys en Bugey,650,667,1015,"45.7237621545,5.65263086429"
1,Arbigny,460,469,1016,"46.4776762988,4.9599416863"
1,Argis,457,473,1017,"45.9337182132,5.48251100314"
1,Armix,27,31,1019,"45.8541838459,5.58357838695"
1,Ars-sur-Formans,1457,1485,1021,"45.9934611,4.82199649494"
1,Artemare,1249,1267,1022,"45.8695891748,5.69065283943"
1,Asnières-sur-Saône,76,76,1023,"46.3857281418,4.88387478623"
1,Attignat,3251,3316,1024,"46.2861802203,5.1795233845"
1,Bâgé-Dommartin,4065,4171,1025,"46.3233203302,4.9528678933"
1,Bâgé-le-Châtel,973,1041,1026,"46.3077069231,4.92862084189"
1,Balan,2563,2615,1027,"45.8311226453,5.10780019249"
1,Baneins,617,634,1028,"46.1141214445,4.90146475101"
1,Beaupont,685,693,1029,"46.4288360203,5.26003405676"
1,Beauregard,829,844,1030,"46.0008580204,4.75600664694"
1,Bellignat,3652,3886,1031,"46.2373497134,5.6360052884"
1,Béligneux,3376,3405,1032,"45.8591464826,5.13989505865"
1,Valserhône,16378,16728,1033,"46.1067901755,5.83202736464"
1,Belley,9182,9582,1034,"45.7494697806,5.68412365526"
1,Belleydoux,310,318,1035,"46.2530316409,5.78471723698"
1,Valromey-sur-Séran,1326,1345,1036,"45.8847475883,5.65115788055"
1,Bénonces,308,312,1037,"45.8374974718,5.48285330863"
1,Bény,754,775,1038,"46.3188629218,5.28253433405"
1,Béon,443,451,1039,"45.8568920052,5.75220315052"
1,Béréziat,486,496,1040,"46.3674371012,5.04021655965"
1,Bettant,748,769,1041,"45.9368718303,5.36667617009"
1,Bey,291,305,1042,"46.2191748844,4.84642690241"
1,Beynost,4754,4867,1043,"45.8390325448,4.99738002182"
1,Billiat,632,648,1044,"46.0791346715,5.76591818163"
1,Birieux,283,287,1045,"45.9533995502,5.03666479984"
1,Biziat,895,903,1046,"46.2266794269,4.94084673168"
1,Blyes,1182,1214,1047,"45.8469686113,5.25166055884"
1,La Boisse,3283,3356,1049,"45.8446213549,5.02783224111"
1,Boissey,365,369,1050,"46.3727973545,4.9989764059"
1,Bolozon,91,92,1051,"46.1960338503,5.47095075411"
1,Bouligneux,328,334,1052,"46.0232774841,4.99252709276"
1,Bourg-en-Bresse,41111,42853,1053,"46.2051520382,5.24602125501"
1,Bourg-Saint-Christophe,1457,1489,1054,"45.8861934456,5.14349196896"
1,Boyeux-Saint-Jérôme,349,354,1056,"46.0363677631,5.46322744717"
1,Boz,519,535,1057,"46.4051688134,4.9135797178"
1,Brégnier-Cordon,828,849,1058,"45.6416854652,5.61653371"
1,Brénod,493,514,1060,"46.0759940484,5.61418361314"
1,Brens,1144,1179,1061,"45.7135069062,5.68998154517"
1,Bressolles,934,956,1062,"45.869423064,5.1009428902"
1,Brion,533,540,1063,"46.1686327301,5.54656422194"
1,Briord,1070,1090,1064,"45.7708330939,5.48537461884"
1,Buellas,1812,1876,1065,"46.2104135162,5.14487465017"
1,La Burbanche,89,90,1066,"45.8598709332,5.54609714598"
1,Ceignes,255,268,1067,"46.1256533435,5.49457379202"
1,Cerdon,775,790,1068,"46.0720202633,5.47577586118"
1,Certines,1503,1542,1069,"46.1337950959,5.26239539372"
1,Cessy,4808,4925,1071,"46.315689376,6.0779844362"
1,Ceyzériat,3194,3256,1072,"46.1832170988,5.32007207542"
1,Ceyzérieu,1000,1025,1073,"45.8335530148,5.71933090966"
1,Chalamont,2589,2624,1074,"46.0076491739,5.16936568"
1,Chaleins,1382,1413,1075,"46.0340545373,4.79853838574"
1,Chaley,125,128,1076,"45.9533367734,5.53682505273"
1,Challes-la-Montagne,196,199,1077,"46.1221539654,5.45755377201"
1,Challex,1557,1590,1078,"46.1768358327,5.97115092939"
1,Champagne-en-Valromey,811,842,1079,"45.9316447397,5.69321890072"
1,Champdor-Corcelles,643,657,1080,"46.0198844188,5.60008759722"
1,Champfromier,735,756,1081,"46.220365768,5.82233573131"
1,Chanay,628,642,1082,"46.005695299,5.76893393185"
1,Chaneins,927,944,1083,"46.0934984191,4.85473364691"
1,Chanoz-Châtenay,895,913,1084,"46.1861812234,5.02807719246"
1,La Chapelle-du-Châtelard,400,405,1085,"46.0744536905,5.02162055898"
1,Charix,282,292,1087,"46.1856344066,5.6811896084"
1,Charnoz-sur-Ain,903,930,1088,"45.8736786869,5.2211032563"
1,Château-Gaillard,2253,2303,1089,"45.9730390239,5.30754273532"
1,Châtenay,356,362,1090,"46.0259402155,5.2048590395"
1,Châtillon-la-Palud,1604,1662,1092,"45.9748017433,5.2416027725"
1,Châtillon-sur-Chalaronne,4931,5134,1093,"46.1232390685,4.95810003714"
1,Chavannes-sur-Reyssouze,761,773,1094,"46.4379785193,5.00693749662"
1,Nivigne et Suran,853,865,1095,"46.2750157946,5.41649423093"
1,Chaveyriat,1034,1064,1096,"46.1991513767,5.0564069258"
1,Chazey-Bons,1159,1195,1098,"45.7925770617,5.68477063188"
1,Chazey-sur-Ain,1566,1623,1099,"45.8929448968,5.25528498524"
1,Cheignieu-la-Balme,131,135,1100,"45.8227204334,5.6050023969"
1,Chevillard,152,159,1101,"46.1103512578,5.58116056005"
1,Chevroux,961,976,1102,"46.38249255,4.96288275972"
1,Chevry,2149,2196,1103,"46.283152935,6.04707941462"
1,Chézery-Forens,461,471,1104,"46.222573373,5.87248105275"
1,Civrieux,1829,1882,1105,"45.922467454,4.88633786877"
1,Cize,179,186,1106,"46.2003848172,5.45082526739"
1,Cleyzieu,133,137,1107,"45.902146623,5.43272695486"
1,Coligny,1176,1200,1108,"46.3866637865,5.3308227014"
1,Collonges,2226,2272,1109,"46.1419227898,5.90040256654"
1,Colomieu,156,158,1110,"45.7361469025,5.62670101041"
1,Conand,132,133,1111,"45.8834810846,5.47541328981"
1,Condamine,450,462,1112,"46.105831161,5.55568206762"
1,Condeissiat,817,829,1113,"46.1538469834,5.08437171701"
1,Confort,667,679,1114,"46.1543700156,5.83319395258"
1,Confrançon,1333,1363,1115,"46.270304175,5.05775217893"
1,Contrevoz,498,510,1116,"45.8009403071,5.62087768159"
1,Conzieu,151,153,1117,"45.7253102173,5.60442351043"
1,Corbonod,1278,1310,1118,"45.9659473187,5.78961970355"
1,Corlier,116,117,1121,"46.0336885573,5.49635755029"
1,Cormoranche-sur-Saône,1162,1197,1123,"46.2403530179,4.8276569593"
1,Cormoz,689,697,1124,"46.4336632942,5.22181275755"
1,Corveissiat,612,625,1125,"46.2505107235,5.47152467919"
1,Courmangoux,508,516,1127,"46.3267864521,5.35558241812"
1,Courtes,305,306,1128,"46.4570082032,5.11128546723"
1,Crans,291,297,1129,"45.9663793103,5.19490390871"
1,Bresse Vallons,2363,2407,1130,"46.3130831891,5.17796707174"
1,Cressin-Rochefort,394,400,1133,"45.7826434885,5.76546256637"
1,Crottet,1758,1803,1134,"46.283072336,4.87747971182"
1,Crozet,2171,2235,1135,"46.2915659686,5.99510417092"
1,Cruzilles-lès-Mépillat,893,913,1136,"46.2220588715,4.8752193513"
1,Culoz,3004,3068,1138,"45.8559966843,5.78398308932"
1,Curciat-Dongalon,444,449,1139,"46.4885456881,5.16344336837"
1,Curtafond,767,786,1140,"46.273150382,5.1020896267"
1,Cuzieu,453,468,1141,"45.8200002803,5.6765554896"
1,Dagneux,4777,4834,1142,"45.8531616918,5.07289166803"
1,Divonne-les-Bains,9951,10190,1143,"46.3756333495,6.1158647611"
1,Dompierre-sur-Veyle,1179,1201,1145,"46.0667883703,5.21665199666"
1,Dompierre-sur-Chalaronne,436,439,1146,"46.1415406621,4.90141714714"
1,Domsure,492,495,1147,"46.4244066427,5.29313479651"
1,Dortan,1879,1925,1148,"46.3133221173,5.64146584117"
1,Douvres,1076,1104,1149,"45.984297392,5.37106901673"
1,Drom,214,219,1150,"46.2196603059,5.36799994918"
1,Druillat,1146,1173,1151,"46.067579544,5.29361666429"
1,Echallon,748,768,1152,"46.2271364137,5.73330448395"
1,Echenevex,2115,2189,1153,"46.3160845207,6.01926187996"
1,Evosges,143,147,1155,"45.965147537,5.50283599885"
1,Faramans,815,827,1156,"45.9104942091,5.1249258559"
1,Fareins,2250,2292,1157,"46.020997974,4.7620080898"
1,Farges,1048,1065,1158,"46.166230455,5.90019477201"
1,Feillens,3365,3436,1159,"46.3365833672,4.88507050971"
1,Ferney-Voltaire,10026,10189,1160,"46.2519789243,6.10826403805"
1,Flaxieu,65,68,1162,"45.8113298005,5.74459048839"
1,Foissiat,2038,2073,1163,"46.3784759782,5.18483641417"
1,Francheleins,1594,1627,1165,"46.0735946256,4.81293575559"
1,Frans,2423,2484,1166,"45.9939065077,4.78033196905"
1,Garnerans,634,658,1167,"46.2136224825,4.82843188743"
1,Genouilleux,641,663,1169,"46.1201611728,4.79288195016"
1,Béard-Géovreissiat,1053,1081,1170,"46.1896733539,5.55139781353"
1,Géovreisset,844,886,1171,"46.2508621615,5.61271973915"
1,Gex,13121,13391,1173,"46.3471891747,6.04650555568"
1,Giron,178,180,1174,"46.2227121191,5.78049809256"
1,Gorrevod,784,807,1175,"46.414943437,4.95120595427"
1,Grand-Corent,183,189,1177,"46.207387937,5.43318666027"
1,Grièges,1881,1933,1179,"46.2633634407,4.84621318847"
1,Grilly,839,860,1180,"46.3318810665,6.11366767978"
1,Groissiat,1241,1291,1181,"46.2260039429,5.61095413441"
1,Guéreins,1479,1508,1183,"46.106624674,4.78159420118"
1,Hautecourt-Romanèche,763,789,1184,"46.1611241927,5.42944457639"
