REGION,TOTAL_ETUDIANTS,PCT_HOMMES,PCT_FEMMES,PCT_NON_RENSEIGNES,NB_HOMMES,NB_FEMMES,NB_NON_RENSEIGNES,NB_2022,NB_2023,NB_2024,NB_2025
Île-de-France,1811,44.40,26.01,29.60,804,471,536,622,511,287,391
Auvergne-Rhône-Alpes,380,53.42,19.74,26.84,203,75,102,144,69,74,93
Provence-Alpes-Côte d'Azur,264,53.79,22.73,23.48,142,60,62,79,53,49,83
Hauts-de-France,258,56.20,19.77,24.03,145,51,62,90,57,51,60
Occitanie,248,54.03,20.97,25.00,134,52,62,93,34,52,69
Nouvelle-Aquitaine,247,51.01,23.08,25.91,126,57,64,89,51,56,51
Grand Est,223,56.50,16.14,27.35,126,36,61,80,36,53,54
Pays de la Loire,139,46.76,22.30,30.94,65,31,43,52,34,25,28
Bretagne,124,49.19,20.97,29.84,61,26,37,37,29,28,30
Centre-Val de Loire,108,62.04,19.44,18.52,67,21,20,33,18,22,35
Normandie,100,58.00,17.00,25.00,58,17,25,27,29,22,22
Bourgogne-Franche-Comté,70,67.14,20.00,12.86,47,14,9,24,14,13,19
DROM,38,71.05,15.79,13.16,27,6,5,12,4,6,16
