Zone,Production,Importations - Quantité,Exportations - Quantité,Pertes,Nourriture,Disponibilité intérieure,Variation de stock,Aliments pour animaux,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Population_1000,Taux_dependance_alimentaire,Ratio_pertes,Production_par_capita,Ratio_export_import
Afghanistan,11609.0,4555.0,601.0,1146.0,12968.0,15139.0,426.0,456.0,32.20967741935484,5.254558823529412,0.4861904761904762,0.8585714285714287,36296.113,0.30087850578779934,0.07569852198305556,0.319841402305492,0.1319428909016705
Afrique du Sud,68455.0,9020.0,10968.0,3108.0,31726.0,66840.0,-322.0,9371.0,34.333333333333336,6.395632183908045,0.9416091954022988,0.9581609195402299,57009.756,0.13494913023714647,0.04649910163825401,1.2007593717685905,1.2159643884740146
Albanie,4231.0,884.0,156.0,321.0,3631.0,4879.0,72.0,697.0,43.58974358974359,16.160128205128206,1.5073076923076922,1.5320512820512822,2884.169,0.18118463185393893,0.06579215704198461,1.4669731673237014,0.1764703886081577
Algérie,26763.0,19718.0,743.0,3683.0,33056.0,45365.0,374.0,4884.0,39.82142857142857,9.50845238095238,0.947857142857143,1.1053571428571427,41389.189,0.4346522553807505,0.08118593450488407,0.6466181145366702,0.037681304509518995
Allemagne,167828.0,66550.0,58793.0,5756.0,77988.0,174960.0,651.0,30904.0,40.9080459770115,10.84183908045977,1.700689655172414,1.1962068965517243,82658.409,0.3803726544331696,0.03289894814301013,2.0303802117655056,0.8834410085132831
Angola,28523.0,4153.0,60.0,3795.0,17025.0,32210.0,403.0,6844.0,27.301204819277107,6.562643678160919,0.5732941176470587,0.6439285714285715,29816.766,0.12893510931589228,0.1178205489655216,0.9566094137570315,0.01444738395199038
Antigua-et-Barbuda,23.0,71.0,0.0,1.0,59.0,84.0,12.0,0.0,28.24418604651163,7.192954545454546,1.0316279069767442,0.9436046511627908,95.426,0.8452280329996071,0.011904620183093058,0.2410219329959026,0.0
Arabie saoudite,9037.0,26414.0,2241.0,803.0,18086.0,32403.0,801.0,12255.0,35.0989010989011,6.003846153846154,1.1327472527472526,0.9616483516483517,33101.179,0.8151714095864145,0.024781655254709278,0.2730114153030195,0.08484136878771224
Argentine,204480.0,3391.0,63629.0,3736.0,34126.0,138346.0,5897.0,21725.0,39.5,9.471219512195121,1.4282926829268294,1.2519512195121951,43937.14,0.024511008453363247,0.02700475599580215,4.6539213828227926,18.764075858426462
Arménie,3708.0,846.0,244.0,274.0,2962.0,4383.0,-76.0,627.0,36.57142857142857,11.702441860465116,1.1535714285714287,1.1586904761904762,2944.791,0.19301843645483996,0.06251424537662666,1.2591721248903147,0.28841573473317406
