Surface reelle bati,Nombre pieces principales
48,3
40,1
82,3
27,1
47,2
24,1
70,3
66,3
19,1
99,4
34,2
100,5
31,1
67,3
46,2
27,1
12,1
29,2
51,2
18,1
51,2
85,3
89,4
46,2
77,4
53,3
48,2
45,2
48,2
79,4
39,2
44,3
124,4
71,3
48,2
18,1
97,5
32,1
51,2
20,1
33,2
39,2
20,1
88,4
41,2
32,2
120,4
28,2
28,2
41,2
51,3
10,1
88,4
18,1
39,2
25,2
59,4
58,3
25,1
40,2
89,4
107,5
70,4
40,2
142,5
74,3
48,2
50,2
20,1
38,2
91,5
40,2
45,2
30,1
75,4
62,2
43,2
128,5
43,2
55,3
65,3
59,3
55,2
90,4
77,4
46,2
24,2
67,3
66,4
49,2
17,1
69,4
93,5
56,3
47,1
156,6
77,3
25,1
133,4
33,1
41,2
58,3
98,4
95,3
68,3
58,2
52,3
51,3
50,2
30,1
51,3
52,3
59,2
13,1
53,2
32,2
33,1
50,3
67,4
57,2
64,4
33,1
147,5
105,5
50,2
39,2
19,1
60,3
57,2
44,2
60,4
86,4
45,2
24,1
42,2
70,3
20,1
95,3
62,3
25,1
19,1
47,3
93,4
64,3
47,2
42,2
65,3
69,1
47,2
121,4
38,2
105,3
80,3
30,2
139,5
37,1
210,8
30,2
74,4
68,3
45,2
47,2
109,4
43,2
71,3
38,1
75,3
76,4
106,4
21,1
76,3
37,3
12,1
25,2
20,1
28,1
83,3
31,2
56,3
30,2
50,2
26,1
37,2
97,6
75,3
47,2
50,3
51,3
50,2
30,2
68,3
25,1
20,1
30,1
39,2
29,2
25,1
53,2
31,1
102,5
60,3
76,4
33,2
45,2
76,3
42,2
66,4
55,3
28,1
107,6
51,3
82,4
71,3
51,2
15,1
30,2
64,3
37,2
64,3
64,3
88,4
82,3
44,2
56,3
63,4
168,6
49,3
96,5
44,2
118,5
45,2
66,4
40,3
54,2
52,3
56,1
88,4
23,1
29,2
119,4
77,1
50,3
74,3
62,3
35,2
32,2
92,4
63,3
61,3
25,1
46,2
47,2
43,2
35,2
30,2
71,3
147,6
21,1
42,2
15,1
67,3
76,3
50,2
62,3
34,2
39,2
82,4
50,3
20,1
63,3
46,2
57,3
77,4
61,3
119,4
30,2
30,2
46,2
62,3
49,2
35,1
67,4
36,1
75,3
109,5
120,4
32,2
24,1
36,2
29,1
57,2
33,2
144,4
63,3
50,3
48,2
66,3
25,3
28,2
84,5
37,3
30,1
114,4
61,3
63,3
40,3
22,1
86,4
32,1
111,5
43,2
46,2
78,3
71,3
123,4
32,2
84,4
40,1
65,3
38,2
65,3
59,3
50,2
26,1
35,2
19,1
65,2
23,1
43,2
72,3
71,3
61,3
17,1
66,3
31,2
62,3
73,3
17,1
61,4
81,4
101,5
78,4
46,2
50,3
65,3
90,4
74,4
66,3
77,3
42,2
59,2
70,4
50,2
51,3
50,1
68,2
52,2
60,3
68,4
45,2
26,1
75,3
