REGION,OC_TOTAL_ETUDIANTS,OC_PCT_HOMMES,OC_PCT_FEMMES,INSEE_POPULATION,INSEE_PCT_HOMMES,INSEE_PCT_FEMMES,DIFF_PCT_HOMMES,DIFF_PCT_FEMMES,ETUDIANTS_POUR_100K_HAB
Île-de-France,1811,44.40,26.01,12278210,48.4,51.6,-4,-25.59,14.75
Auvergne-Rhône-Alpes,380,53.42,19.74,8078652,49.1,50.9,4.32,-31.16,4.7
Provence-Alpes-Côte d'Azur,264,53.79,22.73,5081101,48.3,51.7,5.49,-28.97,5.2
Hauts-de-France,258,56.20,19.77,5997734,48.9,51.1,7.3,-31.33,4.3
Occitanie,248,54.03,20.97,5973969,48.7,51.3,5.33,-30.33,4.15
Nouvelle-Aquitaine,247,51.01,23.08,6033952,48.6,51.4,2.41,-28.32,4.09
Grand Est,223,56.50,16.14,5556219,48.9,51.1,7.6,-34.96,4.01
Pays de la Loire,139,46.76,22.30,3881281,49.1,50.9,-2.34,-28.6,3.58
Bretagne,124,49.19,20.97,3373835,49,51,0.19,-30.03,3.68
Centre-Val de Loire,108,62.04,19.44,2559073,48.7,51.3,13.34,-31.86,4.22
Normandie,100,58.00,17.00,3303500,48.8,51.2,9.2,-34.2,3.03
Bourgogne-Franche-Comté,70,67.14,20.00,2784806,48.9,51.1,18.24,-31.1,2.51
DROM,38,71.05,15.79,2235235,48.2,51.8,22.85,-36.01,1.7
Corse,0,0.00,0.00,343701,49.4,50.6,,,
