client_id;ca_total;nb_achats;panier_moyen;nb_sessions;premiere_transaction;derniere_transaction;est_btob
c_1609;326039.89;25586;12.742901977644024;10997;2021-03-01 00:07:04.371179;2023-02-28 22:29:54.677919;True
c_4958;290227.02999999997;5222;55.57775373420145;3851;2021-03-01 04:54:48.643575;2023-02-28 23:08:40.035146;True
c_6714;153918.6;9199;16.732101315360367;2620;2021-03-01 06:44:06.269773;2023-02-28 23:10:49.235323;True
c_3454;114110.56999999999;6793;16.798258501398497;5571;2021-03-01 01:08:49.803921;2023-02-28 23:16:12.006088;True
c_1570;5285.82;370;14.286;159;2021-03-03 19:23:38.601454;2023-02-21 13:04:55.047669;False
c_3263;5276.87;403;13.093970223325062;143;2021-03-15 16:44:29.713525;2023-02-26 08:54:29.529310;False
c_2140;5260.18;405;12.988098765432099;147;2021-03-17 09:49:03.407913;2023-02-28 18:40:38.377372;False
c_2899;5214.05;105;49.65761904761905;69;2021-03-24 12:27:04.939328;2023-02-21 10:48:16.588961;False
c_7319;5155.7699999999995;371;13.896954177897573;145;2021-03-03 14:35:36.020660;2023-02-26 01:48:20.371021;False
c_7959;5135.75;372;13.805779569892474;148;2021-03-03 16:23:08.988869;2023-02-27 05:07:43.283259;False
c_1422;5131.36;379;13.539208443271766;149;2021-03-03 20:45:16.659173;2023-02-25 11:32:46.118641;False
c_7421;5097.18;381;13.378425196850394;156;2021-03-02 10:56:00.013198;2023-02-23 18:55:55.162888;False
c_8026;5082.58;376;13.5175;145;2021-03-05 01:46:06.776568;2023-02-26 20:43:40.749868;False
c_2505;5059.35;366;13.823360655737705;150;2021-03-01 00:12:38.133768;2023-02-28 10:49:43.354081;False
c_1876;5026.599999999999;358;14.040782122905027;149;2021-03-01 03:44:50.903964;2023-02-25 16:50:43.734552;False
c_4491;5025.05;328;15.320274390243902;144;2021-03-03 20:11:16.313438;2023-02-28 13:31:45.003400;False
c_5263;5006.849999999999;98;51.09030612244897;68;2021-04-11 14:52:04.843866;2023-02-21 22:23:12.673292;False
c_2595;4959.66;398;12.46145728643216;149;2021-03-01 06:11:46.385158;2023-02-12 13:50:04.809425;False
c_8392;4934.01;369;13.37130081300813;152;2021-03-05 03:10:48.334957;2023-02-26 03:57:22.584962;False
c_880;4897.19;365;13.416958904109588;146;2021-03-02 05:53:13.078068;2023-02-28 07:40:28.351602;False
c_8510;4888.16;377;12.965941644562333;162;2021-03-02 23:22:12.562479;2023-02-25 04:04:20.939745;False
c_1636;4883.5599999999995;366;13.343060109289617;158;2021-03-13 12:24:46.401223;2023-02-24 02:54:16.660202;False
c_2077;4848.0599999999995;386;12.559740932642486;161;2021-03-03 08:49:59.549882;2023-02-28 20:53:24.313535;False
c_4840;4826.51;326;14.805245398773007;131;2021-03-10 17:20:48.497061;2023-02-27 23:58:51.271973;False
c_5953;4809.97;372;12.930026881720432;131;2021-03-07 10:17:46.576579;2023-02-26 04:00:36.486086;False
c_6646;4799.87;341;14.075865102639296;132;2021-03-05 21:55:26.649325;2023-02-22 04:03:34.699473;False
c_1637;4798.83;384;12.496953125;165;2021-03-13 18:01:04.858717;2023-02-24 14:11:12.653335;False
c_760;4775.89;377;12.668143236074272;156;2021-03-03 06:14:39.545827;2023-02-25 21:08:46.381024;False
c_3028;4773.23;362;13.185718232044199;120;2021-03-24 04:03:50.151940;2023-02-21 10:14:27.094403;False
c_632;4770.99;369;12.929512195121951;140;2021-03-03 03:41:31.338909;2023-02-20 17:04:55.864157;False
c_794;4766.8;352;13.542045454545455;148;2021-03-16 08:40:04.189310;2023-02-24 00:55:03.564699;False
c_3030;4759.04;345;13.79431884057971;134;2021-03-03 16:23:37.295963;2023-02-19 03:27:28.765542;False
c_8600;4752.55;319;14.898275862068965;153;2021-03-07 04:56:39.366605;2023-02-24 23:03:46.865342;False
c_8537;4748.63;333;14.260150150150151;152;2021-03-03 08:48:44.190955;2023-02-27 09:54:46.686471;False
c_3892;4743.26;334;14.201377245508983;120;2021-03-01 05:48:54.555178;2023-02-28 12:02:55.044738;False
c_634;4742.97;338;14.032455621301775;138;2021-03-11 23:28:16.916984;2023-02-27 14:55:37.301563;False
c_4142;4728.01;80;59.100125000000006;51;2021-03-15 07:56:51.957912;2023-02-26 05:00:05.091901;False
c_5602;4691.18;355;13.214591549295776;161;2021-03-05 15:51:30.865829;2023-02-20 08:38:58.136245;False
c_8556;4679.39;374;12.51173796791444;143;2021-03-14 03:28:27.480665;2023-02-12 04:12:54.155258;False
c_7773;4670.36;100;46.703599999999994;51;2021-03-14 14:19:32.229770;2023-01-28 12:46:06.772556;False
c_7390;4666.72;85;54.90258823529412;49;2021-03-21 23:00:01.682400;2023-02-16 03:15:39.783793;False
c_2212;4643.599999999999;74;62.751351351351346;48;2021-03-14 00:35:19.607096;2023-02-27 14:27:19.276032;False
c_3430;4631.57;311;14.892508038585207;120;2021-03-06 06:29:21.789843;2023-02-17 07:03:10.966728;False
c_778;4631.55;356;13.00997191011236;145;2021-03-02 00:05:29.897269;2023-02-22 10:42:26.969563;False
c_7240;4619.63;327;14.12730886850153;134;2021-03-03 14:57:26.279607;2023-02-28 16:33:10.206944;False
c_1413;4618.32;352;13.120227272727272;144;2021-03-09 23:49:30.380375;2023-02-27 13:38:59.603225;False
c_3725;4598.78;345;13.329797101449275;128;2021-03-04 19:50:53.211443;2023-02-28 21:16:07.495299;False
c_6977;4595.13;76;60.46223684210526;45;2021-03-19 11:46:41.823988;2023-02-27 10:52:43.974550;False
c_1893;4588.8;341;13.456891495601173;132;2021-03-05 16:24:51.583278;2023-02-28 15:31:12.690706;False
c_6775;4587.55;352;13.0328125;140;2021-03-03 20:09:34.974545;2023-02-28 13:35:44.412176;False
c_5898;4566.63;325;14.051169230769231;144;2021-03-13 15:47:07.642768;2023-02-24 22:02:46.543143;False
c_1823;4558.32;78;58.44;44;2021-03-04 05:05:37.463908;2023-02-22 11:08:56.890130;False
c_161;4542.42;345;13.166434782608697;135;2021-03-02 01:23:43.805794;2023-02-18 18:44:11.602239;False
c_391;4540.47;351;12.935811965811967;138;2021-03-01 08:56:51.070655;2023-02-27 01:26:34.247531;False
c_8501;4514.99;328;13.765213414634145;127;2021-03-03 23:16:49.816422;2023-02-28 11:25:44.963370;False
c_669;4514.35;367;12.300681198910082;163;2021-03-15 01:42:03.433254;2023-02-26 14:04:27.311067;False
c_1767;4513.19;349;12.931776504297993;146;2021-03-02 08:09:31.685922;2023-02-27 06:28:55.612916;False
c_428;4505.94;326;13.821901840490796;122;2021-03-17 12:36:49.629222;2023-02-16 02:38:32.958423;False
c_6522;4491.63;335;13.407850746268657;145;2021-03-02 15:07:00.840666;2023-02-28 00:41:26.299185;False
c_707;4486.29;332;13.512921686746989;136;2021-03-08 23:00:20.013483;2023-02-24 22:24:51.051694;False
c_963;4482.09;359;12.484930362116993;143;2021-03-07 02:21:59.445230;2023-02-22 18:47:12.558165;False
c_2284;4458.65;324;13.761265432098764;124;2021-03-05 17:09:02.318869;2023-02-13 16:13:22.257915;False
c_3612;4456.98;328;13.588353658536583;125;2021-03-03 06:27:02.289759;2023-02-25 18:15:57.688611;False
